	genome_id	query_name	cazyme_fam_secstat	e-value
353	ERS235502_46	ERS235502_46_k99_8838_6	GT39_secFalse	5.5e-55
356	ERS235502_46	ERS235502_46_k99_91486_18	GT5_secFalse	3.899999999999999e-173
357	ERS235502_46	ERS235502_46_k99_91486_2	CBM48_secFalse	1.3999999999999998e-16
358	ERS235502_46	ERS235502_46_k99_91486_2	GH13_9_secFalse	1.5999999999999996e-140
360	ERS235502_46	ERS235502_46_k99_96449_43	CE4_secFalse	1.8999999999999998e-24
363	ERS235506_6	ERS235506_6_k99_108546_2	GH28_secFalse	2.7e-66
367	ERS235506_6	ERS235506_6_k99_108546_6	GH105_secFalse	5.9e-108
369	ERS235506_6	ERS235506_6_k99_117407_16	GH1_secFalse	9.399999999999996e-129
370	ERS235506_6	ERS235506_6_k99_119066_24	CE9_secFalse	1.5999999999999997e-119
371	ERS235506_6	ERS235506_6_k99_119066_38	GH1_secFalse	3.999999999999999e-141
372	ERS235506_6	ERS235506_6_k99_119066_42	GH1_secFalse	1.2999999999999994e-147
373	ERS235506_6	ERS235506_6_k99_119066_72	GH32_secFalse	4e-44
374	ERS235506_6	ERS235506_6_k99_119066_74	GH32_secFalse	1.4999999999999996e-84
375	ERS235506_6	ERS235506_6_k99_14372_12	GT4_secFalse	4.199999999999999e-37
376	ERS235506_6	ERS235506_6_k99_14372_13	GT4_secFalse	2.5000000000000003e-25
377	ERS235506_6	ERS235506_6_k99_14372_18	CBM48_secFalse	5.5e-19
378	ERS235506_6	ERS235506_6_k99_14372_18	GH13_9_secFalse	4.999999999999999e-136
379	ERS235506_6	ERS235506_6_k99_14372_19	GT35_secFalse	1.4999999999999993e-256
380	ERS235506_6	ERS235506_6_k99_14372_22	GT5_secFalse	3.4999999999999992e-180
381	ERS235506_6	ERS235506_6_k99_14372_23	GH77_secFalse	1.6999999999999997e-98
382	ERS235506_6	ERS235506_6_k99_14372_23	GH13_39_secFalse	9.999999999999998e-122
384	ERS235506_6	ERS235506_6_k99_14372_8	GT2_Glycos_transf_2_secFalse	3.5e-16
385	ERS235506_6	ERS235506_6_k99_39504_7	GT2_Glycos_transf_2_secFalse	7.2e-23
388	ERS235506_6	ERS235506_6_k99_48461_2	GH1_secFalse	7.999999999999998e-145
389	ERS235506_6	ERS235506_6_k99_5416_1	GH13_30_secFalse	3.099999999999999e-164
390	ERS235506_6	ERS235506_6_k99_60457_4	GH13_20_secFalse	9.599999999999998e-72
391	ERS235506_6	ERS235506_6_k99_62884_28	GT28_secFalse	1.4e-50
393	ERS235506_6	ERS235506_6_k99_66404_10	GH77_secFalse	3.499999999999999e-161
394	ERS235506_6	ERS235506_6_k99_66404_11	GT35_secFalse	1.5999999999999993e-218
395	ERS235506_6	ERS235506_6_k99_69720_10	GT28_secFalse	1.7e-20
400	ERS235506_6	ERS235506_6_k99_72096_12	GT2_Glyco_tranf_2_3_secFalse	1e-25
401	ERS235506_6	ERS235506_6_k99_72776_2	GT81_secFalse	2.9e-18
403	ERS235506_6	ERS235506_6_k99_74593_9	CE7_secFalse	1.9e-85
406	ERS235506_6	ERS235506_6_k99_75518_9	GT2_Glyco_tranf_2_3_secFalse	2.8000000000000004e-21
407	ERS235506_6	ERS235506_6_k99_7634_29	GH5_44_secFalse	3.8999999999999996e-60
408	ERS235506_6	ERS235506_6_k99_80711_10	GT2_Glycos_transf_2_secFalse	2.1e-17
409	ERS235506_6	ERS235506_6_k99_80711_4	GT2_Glycos_transf_2_secFalse	1.4999999999999998e-20
410	ERS235506_6	ERS235506_6_k99_80711_4	GT2_Glycos_transf_2_secFalse	1.9000000000000003e-21
412	ERS235506_6	ERS235506_6_k99_80711_6	GT2_Glycos_transf_2_secFalse	1.9e-33
413	ERS235506_6	ERS235506_6_k99_80711_7	GT2_Glycos_transf_2_secFalse	1.3e-31
414	ERS235506_6	ERS235506_6_k99_80711_8	GT2_Glycos_transf_2_secFalse	2.1e-36
416	ERS235506_6	ERS235506_6_k99_83870_22	GH109_secFalse	8e-19
419	ERS235506_6	ERS235506_6_k99_87501_9	CE4_secFalse	3.2e-26
420	ERS235506_6	ERS235506_6_k99_95415_30	GT51_secFalse	2.7999999999999996e-65
422	ERS235506_6	ERS235506_6_k99_95415_8	GH170_secFalse	2.899999999999999e-101
423	ERS235506_6	ERS235506_6_k99_98552_20	GH109_secFalse	1.1000000000000001e-16
425	ERS235518_14	ERS235518_14_k99_107376_15	GH25_secFalse	4.6e-46
426	ERS235518_14	ERS235518_14_k99_107376_31	CE4_secFalse	1.9e-36
427	ERS235518_14	ERS235518_14_k99_111214_4	CE6_secFalse	2e-25
428	ERS235518_14	ERS235518_14_k99_111600_1	CBM26_secFalse	2.4e-16
430	ERS235518_14	ERS235518_14_k99_111600_1	GH13_19_secFalse	4.7999999999999995e-61
439	ERS235518_14	ERS235518_14_k99_139289_2	GT2_Glycos_transf_2_secFalse	3.6e-36
440	ERS235518_14	ERS235518_14_k99_15874_8	GH13_42_secFalse	1.2999999999999996e-141
442	ERS235518_14	ERS235518_14_k99_16841_18	GT4_secFalse	1.3e-29
443	ERS235518_14	ERS235518_14_k99_16841_20	GT2_Glycos_transf_2_secFalse	3.4e-33
444	ERS235518_14	ERS235518_14_k99_16841_22	GT11_secFalse	2.3999999999999996e-72
447	ERS235518_14	ERS235518_14_k99_16841_24	GT4_secFalse	9.1e-23
448	ERS235518_14	ERS235518_14_k99_16841_55	GT28_secFalse	2.9e-47
453	ERS235518_14	ERS235518_14_k99_17327_2	CE4_secFalse	5.999999999999999e-28
455	ERS235518_14	ERS235518_14_k99_17327_66	GT5_secFalse	9.399999999999997e-171
456	ERS235518_14	ERS235518_14_k99_24581_1	GH13_19_secFalse	1.4999999999999997e-78
457	ERS235518_14	ERS235518_14_k99_24581_3	GH13_36_secTrue	1.8999999999999998e-103
459	ERS235518_14	ERS235518_14_k99_24581_5	GT2_Glycos_transf_2_secFalse	2.9e-25
461	ERS235518_14	ERS235518_14_k99_27098_2	GH13_28_secFalse	1.0999999999999999e-94
463	ERS235518_14	ERS235518_14_k99_27099_11	GT4_secFalse	4.0999999999999993e-26
464	ERS235518_14	ERS235518_14_k99_27099_12	GT2_Glycos_transf_2_secFalse	1.5e-21
465	ERS235518_14	ERS235518_14_k99_27099_14	GT4_secFalse	1.3999999999999998e-26
466	ERS235518_14	ERS235518_14_k99_27099_16	GT2_Glycos_transf_2_secFalse	4.7e-34
467	ERS235518_14	ERS235518_14_k99_27099_17	GT2_Glycos_transf_2_secFalse	1.1e-37
468	ERS235518_14	ERS235518_14_k99_27099_18	GT32_secFalse	1.1000000000000001e-18
469	ERS235518_14	ERS235518_14_k99_27099_19	GT2_Glycos_transf_2_secFalse	2e-36
472	ERS235518_14	ERS235518_14_k99_27099_39	CBM34_secFalse	2.8000000000000005e-17
473	ERS235518_14	ERS235518_14_k99_27099_39	GH13_20_secFalse	5.699999999999999e-116
474	ERS235518_14	ERS235518_14_k99_27099_6	GT2_Glycos_transf_2_secFalse	2.1e-24
475	ERS235518_14	ERS235518_14_k99_27099_9	GT4_secFalse	2.1e-32
478	ERS235518_14	ERS235518_14_k99_36232_5	GH13_39_secFalse	3.9999999999999987e-128
479	ERS235518_14	ERS235518_14_k99_36448_50	GH23_secFalse	1.2999999999999999e-27
480	ERS235518_14	ERS235518_14_k99_4219_21	GH13_14_secFalse	2.1999999999999995e-107
485	ERS235518_14	ERS235518_14_k99_4219_22	GH13_14_secFalse	3.9999999999999993e-112
486	ERS235518_14	ERS235518_14_k99_4219_72	GH13_20_secFalse	7.299999999999998e-78
487	ERS235518_14	ERS235518_14_k99_4219_77	CE1_secFalse	1.1e-35
488	ERS235518_14	ERS235518_14_k99_4219_82	GH31_secFalse	8.299999999999999e-138
489	ERS235518_14	ERS235518_14_k99_4219_93	GH13_9_secFalse	1.8999999999999995e-158
490	ERS235518_14	ERS235518_14_k99_4219_93	CBM48_secFalse	2.4e-18
498	ERS235518_14	ERS235518_14_k99_43787_15	CBM21_secFalse	4.4000000000000005e-16
499	ERS235518_14	ERS235518_14_k99_43787_15	CBM21_secFalse	8.100000000000001e-21
500	ERS235518_14	ERS235518_14_k99_48901_6	GT2_Glycos_transf_2_secFalse	1.3e-25
503	ERS235518_14	ERS235518_14_k99_50359_27	GH13_14_secFalse	6.699999999999998e-102
504	ERS235518_14	ERS235518_14_k99_50359_48	GH3_secFalse	8.3e-40
506	ERS235518_14	ERS235518_14_k99_53240_11	GT51_secFalse	2.5e-66
508	ERS235518_14	ERS235518_14_k99_55160_1	CBM74_secFalse	1.0999999999999999e-72
511	ERS235518_14	ERS235518_14_k99_55160_6	GH13_28_secFalse	2.899999999999999e-75
513	ERS235518_14	ERS235518_14_k99_69137_65	GH25_secFalse	1.6e-47
515	ERS235518_14	ERS235518_14_k99_85096_4	GH25_secFalse	4.7999999999999996e-43
516	ERS235518_14	ERS235518_14_k99_93166_19	GH25_secFalse	1.8999999999999997e-48
518	ERS235518_14	ERS235518_14_k99_96950_76	GH13_36_secFalse	3.2999999999999996e-102
519	ERS235518_14	ERS235518_14_k99_96950_7	GT35_secFalse	5.8999999999999964e-257
520	ERS235518_14	ERS235518_14_k99_96950_78	GT28_secFalse	1.4e-28
523	ERS235518_14	ERS235518_14_k99_96950_80	CBM74_secFalse	9.599999999999996e-131
525	ERS235518_14	ERS235518_14_k99_96950_8	GH77_secFalse	1.1999999999999995e-169
526	ERS235518_14	ERS235518_14_k99_96950_89	GH13_secFalse	3.0999999999999993e-72
527	ERS235518_14	ERS235518_14_k99_994_8	CBM26_secFalse	8.500000000000001e-19
529	ERS235518_14	ERS235518_14_k99_994_9	GH13_42_secFalse	3.899999999999999e-143
532	ERS235524_16	ERS235524_16_k99_1676_1	GT2_Glycos_transf_2_secFalse	1.9e-29
534	ERS235524_16	ERS235524_16_k99_18596_15	GH1_secFalse	9.399999999999996e-129
536	ERS235524_16	ERS235524_16_k99_28550_2	GH1_secFalse	1.1999999999999997e-127
537	ERS235524_16	ERS235524_16_k99_31476_16	GT28_secFalse	3.5000000000000004e-50
542	ERS235524_16	ERS235524_16_k99_33535_6	GT35_secFalse	2.099999999999999e-257
543	ERS235524_16	ERS235524_16_k99_34107_8	GH170_secFalse	3.399999999999999e-102
545	ERS235524_16	ERS235524_16_k99_48918_17	GH1_secFalse	9.999999999999997e-132
546	ERS235524_16	ERS235524_16_k99_50853_26	GH5_44_secFalse	3.8999999999999996e-60
547	ERS235524_16	ERS235524_16_k99_55805_3	GH32_secFalse	1.1999999999999999e-84
548	ERS235524_16	ERS235524_16_k99_55805_5	GH32_secFalse	2.3999999999999998e-43
550	ERS235524_16	ERS235524_16_k99_56419_19	CE7_secFalse	1.8e-77
552	ERS235524_16	ERS235524_16_k99_57293_7	GT2_Glycos_transf_2_secFalse	7.1e-23
553	ERS235524_16	ERS235524_16_k99_57553_13	GT2_Glyco_tranf_2_3_secFalse	7.3e-26
554	ERS235524_16	ERS235524_16_k99_61792_15	GH1_secFalse	5.1999999999999985e-145
555	ERS235524_16	ERS235524_16_k99_61792_23	CE4_secFalse	9.499999999999999e-25
558	ERS235524_16	ERS235524_16_k99_66770_11	GT81_secFalse	9.8e-18
564	ERS235524_16	ERS235524_16_k99_68158_3	GT51_secFalse	2.3999999999999993e-65
567	ERS235524_16	ERS235524_16_k99_68798_27	GH4_secFalse	3.5e-48
568	ERS235524_16	ERS235524_16_k99_68798_30	GH13_20_secFalse	2.5999999999999995e-71
570	ERS235524_16	ERS235524_16_k99_70527_12	GT35_secFalse	3.499999999999998e-219
571	ERS235524_16	ERS235524_16_k99_70527_13	GH77_secFalse	2.2999999999999992e-161
581	ERS235524_16	ERS235524_16_k99_86035_1	GH13_30_secFalse	1.1999999999999996e-162
582	ERS235524_16	ERS235524_16_k99_87197_9	GH109_secFalse	1.2e-17
583	ERS235524_16	ERS235524_16_k99_88225_3	GT2_Glycos_transf_2_secFalse	1.1e-17
584	ERS235524_16	ERS235524_16_k99_89949_10	GH105_secFalse	7.799999999999999e-107
588	ERS235524_16	ERS235524_16_k99_91404_1	GT28_secFalse	2.9999999999999997e-20
590	ERS235524_16	ERS235524_16_k99_92238_10	GH1_secFalse	2.3999999999999992e-141
591	ERS235524_16	ERS235524_16_k99_92238_14	GH1_secFalse	4.4999999999999995e-141
592	ERS235524_16	ERS235524_16_k99_92238_27	CE9_secFalse	1.5999999999999997e-119
593	ERS235524_16	ERS235524_16_k99_92238_8	GH1_secFalse	4.799999999999999e-148
597	ERS235526_30	ERS235526_30_k99_124689_12	GT81_secFalse	3.500000000000001e-18
598	ERS235526_30	ERS235526_30_k99_129965_12	GH32_secFalse	2.5e-44
599	ERS235526_30	ERS235526_30_k99_129965_14	GH32_secFalse	2.2e-83
600	ERS235526_30	ERS235526_30_k99_131143_10	GH13_9_secFalse	2.899999999999999e-136
601	ERS235526_30	ERS235526_30_k99_131143_10	CBM48_secFalse	5.6e-19
604	ERS235526_30	ERS235526_30_k99_131143_17	GT32_secFalse	2.0000000000000002e-21
606	ERS235526_30	ERS235526_30_k99_131143_21	GT2_Glycos_transf_2_secFalse	5.6e-29
608	ERS235526_30	ERS235526_30_k99_131143_5	GH77_secFalse	2.6e-100
609	ERS235526_30	ERS235526_30_k99_131143_5	GH13_39_secFalse	7.999999999999999e-122
611	ERS235526_30	ERS235526_30_k99_131143_9	GT35_secFalse	9.299999999999995e-256
612	ERS235526_30	ERS235526_30_k99_137673_6	GT28_secFalse	1.7e-50
619	ERS235526_30	ERS235526_30_k99_149061_13	GT4_secFalse	6.1e-20
620	ERS235526_30	ERS235526_30_k99_169362_15	GH109_secFalse	4.4e-17
621	ERS235526_30	ERS235526_30_k99_188674_6	GH4_secFalse	3.5e-48
622	ERS235526_30	ERS235526_30_k99_188674_9	GH13_20_secFalse	1.4999999999999997e-71
623	ERS235526_30	ERS235526_30_k99_191740_3	GT2_Glycos_transf_2_secFalse	5e-20
624	ERS235526_30	ERS235526_30_k99_191740_3	GT2_Glycos_transf_2_secFalse	9.6e-20
625	ERS235526_30	ERS235526_30_k99_193347_4	GT2_Glycos_transf_2_secFalse	1.9e-17
626	ERS235526_30	ERS235526_30_k99_193347_5	GT2_Glycos_transf_2_secFalse	4e-36
627	ERS235526_30	ERS235526_30_k99_193347_6	GT2_Glycos_transf_2_secFalse	3e-31
628	ERS235526_30	ERS235526_30_k99_198975_3	GH2_secFalse	3.0999999999999985e-196
630	ERS235526_30	ERS235526_30_k99_200701_1	GT2_Glycos_transf_2_secFalse	2.1e-32
631	ERS235526_30	ERS235526_30_k99_200701_2	GT2_Glycos_transf_2_secFalse	2.8999999999999996e-31
639	ERS235526_30	ERS235526_30_k99_32241_7	GT2_Glycos_transf_2_secFalse	7.1e-23
641	ERS235526_30	ERS235526_30_k99_44468_13	GH1_secFalse	6.099999999999999e-141
642	ERS235526_30	ERS235526_30_k99_44468_21	CE4_secFalse	1.7000000000000002e-25
643	ERS235526_30	ERS235526_30_k99_44468_4	GH1_secFalse	5.6999999999999975e-145
644	ERS235526_30	ERS235526_30_k99_50723_3	GT2_Glyco_tranf_2_3_secFalse	1e-25
645	ERS235526_30	ERS235526_30_k99_53486_24	GH5_44_secFalse	3.7e-60
646	ERS235526_30	ERS235526_30_k99_75071_2	GH32_secFalse	6.699999999999999e-79
648	ERS235526_30	ERS235526_30_k99_76413_19	CE7_secFalse	3.3e-85
649	ERS235526_30	ERS235526_30_k99_76413_33	GH23_secFalse	3.5e-29
650	ERS235526_30	ERS235526_30_k99_82270_32	GH1_secFalse	6.599999999999998e-145
651	ERS235526_30	ERS235526_30_k99_82431_3	GH77_secFalse	2.5999999999999995e-162
652	ERS235526_30	ERS235526_30_k99_82431_4	GT35_secFalse	5.799999999999997e-218
655	ERS235526_90	ERS235526_90_k99_131487_6	GH73_secTrue	1.1999999999999998e-33
656	ERS235526_90	ERS235526_90_k99_136097_12	GH65_secFalse	8.099999999999998e-149
657	ERS235526_90	ERS235526_90_k99_138620_16	GT51_secFalse	5.9e-63
659	ERS235526_90	ERS235526_90_k99_141180_16	GT4_secFalse	4.3e-25
660	ERS235526_90	ERS235526_90_k99_141180_17	GT4_secFalse	6.6e-31
661	ERS235526_90	ERS235526_90_k99_168210_7	GT4_secFalse	1.1000000000000001e-30
662	ERS235526_90	ERS235526_90_k99_168210_8	GT4_secFalse	1e-19
663	ERS235526_90	ERS235526_90_k99_187234_8	GH32_secFalse	7.099999999999998e-73
664	ERS235526_90	ERS235526_90_k99_197895_18	GT28_secFalse	1.5e-51
668	ERS235526_90	ERS235526_90_k99_21938_4	GH73_secFalse	2.7999999999999995e-38
669	ERS235526_90	ERS235526_90_k99_226804_4	GH73_secFalse	5.6e-35
682	ERS235526_90	ERS235526_90_k99_74242_4	GT51_secFalse	9.099999999999999e-61
684	ERS235526_90	ERS235526_90_k99_77194_8	GH2_secFalse	2.0999999999999996e-144
688	ERS235530_72	ERS235530_72_k99_108792_1	CE4_secFalse	2e-28
696	ERS235530_72	ERS235530_72_k99_1327_3	GH1_secFalse	4.5999999999999985e-111
697	ERS235530_72	ERS235530_72_k99_1327_4	GH36_secFalse	3.299999999999999e-214
700	ERS235530_72	ERS235530_72_k99_1327_9	GT28_secFalse	8.800000000000001e-23
701	ERS235530_72	ERS235530_72_k99_134218_25	GT4_secFalse	9.6e-30
708	ERS235530_72	ERS235530_72_k99_15185_13	CE4_secFalse	6.3e-30
710	ERS235530_72	ERS235530_72_k99_152249_8	GT26_secFalse	6.499999999999999e-68
711	ERS235530_72	ERS235530_72_k99_156679_12	CE9_secFalse	2.899999999999999e-122
712	ERS235530_72	ERS235530_72_k99_160497_21	GH3_secFalse	7.2e-21
713	ERS235530_72	ERS235530_72_k99_165702_39	CE4_secFalse	8.199999999999999e-33
720	ERS235530_72	ERS235530_72_k99_183416_8	GT51_secFalse	4.5e-62
721	ERS235530_72	ERS235530_72_k99_184384_2	GH109_secFalse	8.300000000000001e-16
724	ERS235530_72	ERS235530_72_k99_191275_4	GH77_secFalse	4.4999999999999995e-173
725	ERS235530_72	ERS235530_72_k99_191275_5	GT35_secFalse	2.599999999999999e-250
730	ERS235530_72	ERS235530_72_k99_203019_6	CE4_secFalse	2.3999999999999997e-27
731	ERS235530_72	ERS235530_72_k99_206099_2	GH25_secFalse	8.7e-45
732	ERS235530_72	ERS235530_72_k99_207013_2	CE14_secFalse	1.3e-25
741	ERS235530_72	ERS235530_72_k99_24964_6	GT26_secFalse	3.5999999999999994e-65
744	ERS235530_72	ERS235530_72_k99_26781_15	GH109_secFalse	6.8e-21
751	ERS235530_72	ERS235530_72_k99_38376_18	GH24_secFalse	1.8000000000000004e-26
754	ERS235530_72	ERS235530_72_k99_42216_11	GT28_secFalse	3e-41
756	ERS235530_72	ERS235530_72_k99_47250_5	GT4_secFalse	9.4e-31
760	ERS235530_72	ERS235530_72_k99_51277_16	GT2_Glyco_tranf_2_3_secFalse	4e-27
763	ERS235530_72	ERS235530_72_k99_61000_4	GH2_secFalse	5.2999999999999994e-105
764	ERS235530_72	ERS235530_72_k99_61032_6	GH3_secFalse	5.2e-55
765	ERS235530_72	ERS235530_72_k99_66608_2	CE4_secTrue	2.6000000000000004e-28
773	ERS235530_72	ERS235530_72_k99_83975_2	CBM48_secFalse	4.5e-19
774	ERS235530_72	ERS235530_72_k99_83975_2	GH13_9_secFalse	5.299999999999999e-150
775	ERS235530_72	ERS235530_72_k99_83975_5	GT5_secFalse	8.299999999999998e-165
776	ERS235530_72	ERS235530_72_k99_83975_6	GT35_secFalse	1.7999999999999994e-253
777	ERS235530_72	ERS235530_72_k99_83975_7	GH13_39_secFalse	2.5999999999999995e-117
781	ERS235530_72	ERS235530_72_k99_85400_8	GH13_secFalse	2.7e-49
785	ERS235537_10	ERS235537_10_k99_111809_10	GT51_secFalse	5.799999999999999e-61
786	ERS235537_10	ERS235537_10_k99_111809_2	CE4_secFalse	6.1e-26
787	ERS235537_10	ERS235537_10_k99_122581_25	GH13_9_secFalse	3.499999999999999e-143
788	ERS235537_10	ERS235537_10_k99_122581_25	CBM48_secFalse	8.9e-18
795	ERS235537_10	ERS235537_10_k99_143899_4	GH77_secFalse	7.199999999999999e-114
798	ERS235537_10	ERS235537_10_k99_15532_10	GH13_31_secFalse	5.999999999999999e-126
803	ERS235537_10	ERS235537_10_k99_162428_2	GH1_secFalse	2.299999999999999e-168
806	ERS235537_10	ERS235537_10_k99_169024_22	AA4_secFalse	3.6e-24
810	ERS235537_10	ERS235537_10_k99_173965_6	GH13_39_secFalse	3.799999999999999e-124
811	ERS235537_10	ERS235537_10_k99_173965_7	GT35_secFalse	2.699999999999999e-258
812	ERS235537_10	ERS235537_10_k99_173965_8	GT5_secFalse	1.2999999999999996e-171
813	ERS235537_10	ERS235537_10_k99_179648_36	GH13_20_secFalse	9.999999999999997e-80
814	ERS235537_10	ERS235537_10_k99_180061_20	CBM66_secTrue	1.1e-45
815	ERS235537_10	ERS235537_10_k99_180061_20	GH32_secTrue	1.6999999999999997e-64
816	ERS235537_10	ERS235537_10_k99_180061_20	CBM66_secTrue	2.5999999999999995e-35
822	ERS235537_10	ERS235537_10_k99_2121_7	GH13_11_secFalse	1.4999999999999995e-150
823	ERS235537_10	ERS235537_10_k99_218494_24	GT51_secFalse	3.0999999999999996e-67
825	ERS235537_10	ERS235537_10_k99_220784_3	CE4_secFalse	5.7e-31
826	ERS235537_10	ERS235537_10_k99_225614_26	GT2_Glycos_transf_2_secFalse	5e-27
827	ERS235537_10	ERS235537_10_k99_23457_17	GT2_Glycos_transf_2_secFalse	1.8e-27
829	ERS235537_10	ERS235537_10_k99_23457_6	GT2_Glycos_transf_2_secFalse	6.6e-21
830	ERS235537_10	ERS235537_10_k99_29200_7	GT35_secFalse	1.699999999999999e-283
831	ERS235537_10	ERS235537_10_k99_32075_8	GH25_secFalse	1.1999999999999998e-44
832	ERS235537_10	ERS235537_10_k99_44159_6	GH73_secTrue	3.7000000000000004e-26
833	ERS235537_10	ERS235537_10_k99_48933_6	GH3_secFalse	3.0999999999999996e-61
834	ERS235537_10	ERS235537_10_k99_49020_13	CE4_secFalse	3.7e-27
835	ERS235537_10	ERS235537_10_k99_49020_23	GT2_Glycos_transf_2_secFalse	2.3e-35
838	ERS235537_10	ERS235537_10_k99_52891_5	GH13_9_secFalse	6.199999999999999e-124
840	ERS235537_10	ERS235537_10_k99_55672_2	AA4_secFalse	7.7e-21
841	ERS235537_10	ERS235537_10_k99_58825_31	GT28_secFalse	2.6e-40
842	ERS235537_10	ERS235537_10_k99_58825_35	CE4_secFalse	4.7999999999999995e-28
844	ERS235537_10	ERS235537_10_k99_60658_6	GT2_Glycos_transf_2_secFalse	6e-26
846	ERS235537_10	ERS235537_10_k99_77620_2	GH32_secFalse	1.2999999999999998e-95
847	ERS235537_10	ERS235537_10_k99_84946_4	GT5_secFalse	5.4e-174
851	ERS235542_69	ERS235542_69_k99_104600_23	CBM3_secTrue	2.1e-17
852	ERS235542_69	ERS235542_69_k99_104600_23	GH9_secTrue	5.4999999999999995e-117
854	ERS235542_69	ERS235542_69_k99_104600_26	GH2_secFalse	1.4e-59
855	ERS235542_69	ERS235542_69_k99_113021_10	CBM78_secTrue	2.7000000000000003e-18
858	ERS235542_69	ERS235542_69_k99_113021_17	GT51_secFalse	1.9e-61
859	ERS235542_69	ERS235542_69_k99_113848_2	GT2_Glycos_transf_2_secFalse	2.6e-24
861	ERS235542_69	ERS235542_69_k99_114354_2	GH10_secFalse	5.0999999999999995e-101
862	ERS235542_69	ERS235542_69_k99_114354_2	CBM22_secFalse	8.699999999999999e-28
865	ERS235542_69	ERS235542_69_k99_122117_18	GH13_9_secFalse	9.999999999999997e-116
866	ERS235542_69	ERS235542_69_k99_122117_29	GH25_secFalse	3.7e-51
867	ERS235542_69	ERS235542_69_k99_122741_23	CBM79_secFalse	1.3e-29
868	ERS235542_69	ERS235542_69_k99_122741_23	GH5_4_secFalse	2.2999999999999993e-104
869	ERS235542_69	ERS235542_69_k99_122741_23	CBM79_secFalse	2.9999999999999995e-36
871	ERS235542_69	ERS235542_69_k99_12841_12	GH5_4_secFalse	1.0999999999999998e-92
875	ERS235542_69	ERS235542_69_k99_131053_11	GH8_secFalse	2.3999999999999995e-76
876	ERS235542_69	ERS235542_69_k99_131053_5	CE4_secFalse	4.5e-28
879	ERS235542_69	ERS235542_69_k99_132239_34	GH9_secFalse	1.1999999999999997e-105
880	ERS235542_69	ERS235542_69_k99_132239_34	CBM4_secFalse	2.3e-20
882	ERS235542_69	ERS235542_69_k99_132239_35	GH9_secTrue	2.3999999999999994e-96
883	ERS235542_69	ERS235542_69_k99_132239_35	CBM79_secTrue	4.4e-42
